rating, material1, material2, time_in_seconds
1, G2StoneTileVersion2, G1ProfiledAluminumPlate, 1.434124
3, G9TextileVersion3, G8GlitterPaperVersion1, 3.091288
5, G3Copper, G1ProfiledAluminumPlate, 1.618288
6, G4WoodenPaper, G4Teak, 1.49978
3, G4CompressedWoodVersion1, G4ProfiledWoodPlate, 2.614945
2, G4Bamboo, G9TextileVersion3, 1.802352
2, G8Paper, G2Brick, 1.4834
1, G6Towel, G9GreenVelvet, 2.517196
1, G3StainlessSteel, G9Jeans, 3.617675
1, G4ProfiledWoodPlate, G9RedFleeze, 2.415411
1, G2CrushedRock, G4LaminatedWood, 4.593121
9, G8RoughPaper, G9RedFleeze, 7.943559
8, G9TableClothVersion2, G9GreenVelvet, 7.519762
1, G3Copper, G9TextileVersion3, 4.162907
4, G4Bamboo, G6Carpet, 2.040868
2, G8Paper, G1ProfiledAluminumPlate, 4.393616
1, G2StoneTileVersion2, G4CompressedWoodVersion1, 2.639375
1, G2Marble, G4Larch, 1.444453
